An earthquake caused four buildings to collapse. Experts predicted that each following earthquake would have double the number of collapsing buildings as the previous one, since each one would make the foundations less stable. After three more earthquakes, how many buildings had collapsed including those from the first earthquake?	60	The second earthquake caused 2 * 4 = 8 buildings to collapse. The third earthquake caused 2 * 8 = 16 buildings to collapse. The fourth earthquake caused 16 * 2 = 32 buildings to collapse. Including the first earthquake, the earthquakes caused 4 + 8 + 16 + 32 = 60 buildings to collapse.
James is a first-year student at a University in Chicago. He has a budget of $1000 per semester. He spends 30% of his money on food, 15% on accommodation, 25% on entertainment, and the rest on coursework materials. How much money does he spend on coursework materials?	300	Accommodation is 15% * $1000 = $150. Food is     30% * $1000 = $300. Entertainment is  25% * $1000 = $250. Coursework materials are thus $1000 - ($150 + $300 + $250) = $300.
It's Ava's birthday party. Her parents bought a unicorn piñata for $13 and filled it with all of her favorite treats. They bought 4 bags of Reese's for $9 per bag, 3 bags of Snickers for $5 per bag, and 5 bags of Skittles for $7 per bag. How much did the unicorn piñata and the treats cost altogether?	99	The four bags of Reese's cost $9 x 4 = $36. The three bags of Snickers cost $5 x 3 = $15. The five bags of Skittles cost $7 x 5 = $35. Therefore, the unicorn piñata and the treats cost $13 + $36 + $15 + $35 = $99.
Carolyn practices the piano for 20 minutes a day and the violin for three times as long. If she practice six days a week, how many minutes does she spend practicing in a month with four weeks?	1920	First find Carolyn's total violin practice time by tripling her piano practice time: 20 minutes / day * 3 = 60 minutes / day. Then find the total amount of time she spends practicing each day: 60 minutes / day + 20 minutes / day = 80 minutes / day. Then find the total time she spends practicing each week: 80 minutes / day * 6 days / week = 480 minutes / week. Then find the total time she spends practicing each month: 480 minutes / week * 4 weeks / month = 1920 minutes / month.
The file, 90 megabytes in size, downloads at the rate of 5 megabytes per second for its first 60 megabytes, and then 10 megabytes per second thereafter. How long, in seconds, does it take to download entirely?	15	The first 60 megabytes take 60 / 5 = 12 seconds. There are 90 - 60 = 30 remaining megabytes. The remaining 30 megabytes take 30 / 10 = 3 seconds. And 12 + 3 = 15 seconds.
Sam memorized six more digits of pi than Carlos memorized. Mina memorized six times as many digits of pi as Carlos memorized. If Mina memorized 24 digits of pi, how many digits did Sam memorize?	10	Carlos memorized 24 / 6 = 4 digits of pi. Sam memorized 4 + 6 = 10 digits of pi.
On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?	48	Ben collected 36 / 3 = 12 shells. Alan collected 12 * 4 = 48 shells.
Gerald spends $100 a month on baseball supplies. His season is 4 months long. He wants to use the months he's not playing baseball to save up by raking, shoveling, and mowing lawns. He charges $10 for each. How many chores does he need to average a month to save up for his supplies?	5	He needs to save up $400 because 4 x 100 = 400. He has 8 months to earn this money because 12 - 4 = 8. He needs to earn $50 a month because 400 / 8 = 50. He needs to do 5 tasks a month because 50 / 10 = 5.
Ann is cutting fabric to make curtains. She cuts a 4 foot by 6 foot rectangle for the living room, and a 2 foot by 4 foot rectangle for the bedroom. If the bolt of fabric is 16 feet by 12 feet, how much fabric is left in square feet?	160	First figure out how many square feet the original bolt of fabric was: 16 feet * 12 feet = 192 square feet. Then figure out how much fabric Ann took for the living room curtains: 4 feet * 6 feet = 24 square feet. Then figure out how much fabric Ann took for the bathroom curtains: 2 feet * 4 feet = 8 square feet. Finally, subtract the square footage of both sets of curtains from the total square footage: 192 - 24 - 8 = 160 square feet.
Arnel had ten boxes of pencils with the same number of pencils in each box. He kept ten pencils and shared the remaining pencils equally with his five friends. If his friends got eight pencils each, how many pencils are in each box?	5	Arnel shared 5 x 8 = 40 pencils with his friends. So, he had 10 + 40 = 50 pencils in all. Therefore, each box had 50 / 10 = 5 pencils inside.
Caleb bought 10 cartons of ice cream and 4 cartons of frozen yoghurt. Each carton of ice cream cost $4 and each carton of frozen yoghurt cost $1. How much more did Caleb spend on ice cream than on frozen yoghurt?	36	The cost of the ice cream is 10 × $4 = $40. The cost of the frozen yoghurt is 4 × $1 = $4. Caleb spent $40 − $4 = $36 more on ice cream than on frozen yogurt.
Leah earned $28 working odd jobs around the neighborhood. She spent a seventh of it on a milkshake and put half of the rest in her savings account. She left the remaining money in her wallet. Her dog got ahold of her wallet and shredded all the money inside but $1. How many dollars did Leah lose?	11	Leah spent 28 / 7 = $4 on a milkshake. She had 28 - 4 = $24 left. She put half in her savings account and half in her wallet, so she had 24 / 2 = $12 in her wallet. Her dog shredded all the money in her wallet but $1, so Leah lost 12 - 1 = $11.
There are 25 roses in a garden. There are 40 tulips. There are 35 daisies. What percentage of flowers are not roses?	75	There are 25 + 40 + 35 = 100 flowers total. There are 40 + 35 = 75 flowers that are not roses. Therefore, (75 / 100) * 100 = 75% of the flowers are not roses.
Leo's assignment was divided into three parts. He finished the first part of his assignment in 25 minutes. It took him twice as long to finish the second part. If he was able to finish his assignment in 2 hours, how many minutes did Leo finish the third part of the assignment?	45	It took Leo 25 x 2 = 50 minutes to finish the second part of the assignment. Leo finished the first and second parts of the assignment in 25 + 50 = 75 minutes. He finished the entire assignment in 60 x 2 = 120 minutes. Therefore, it took Leo 120 - 75 = 45 minutes to finish the third part of the assignment.
Liza bought 10 kilograms of butter to make cookies. She used one-half of it for chocolate chip cookies, one-fifth of it for peanut butter cookies, and one-third of the remaining butter for sugar cookies. How many kilograms of butter are left after making those three kinds of cookies?	2	Liza used 10 / 2 = 5 kilograms of butter for the chocolate chip cookies. Then, she used 10 / 5 = 2 kilograms of butter for the peanut butter cookies. She used 5 + 2 = 7 kilograms of butter for the chocolate and peanut butter cookies. So, only 10 - 7 = 3 kilograms of butter was left. Then, Liza used 3 / 3 = 1 kilograms of butter for the sugar cookies. Therefore, only 3 - 1 = 2 kilograms of butter were left.
A Statistics student wants to find out the average daily allowance of the middle school students. According to his survey, 2/3 of the students receive an average of $6 allowance per day while the rest gets an average of $4 a day. If he surveyed 60 students, what is the total amount of money those 60 students get in a day?	320	There are 60 students x 2 / 3 = 40 students who have a $6 daily allowance. While there are 60 students - 40 students = 20 students who have a $4 daily allowance. The sum of the allowances of the 40 students who received $6 daily is 40 students x $6 / day = $240. The sum of the allowances of the 20 students who received $4 daily is 20 students x $4 / day = $80. The total daily amount of money of those 60 students is $240 + $80 = $320.
Every hour Joanne has to collect the coins out of the fountain inside the mall. During the first hour, she collected 15 coins. For the next two hours, she collected 35 coins from the fountain. In the fourth hour, she collected 50 coins from the fountain but she gave 15 of them to her coworker so she could buy a soda. How many coins did she have after the fourth hour?	120	15 coins collected in hour one. 35 coins collected in hour two. 35 coins collected in hour three. 50 coins collected in hour four. Before giving her coworker some coins there were 15 + 35 + 35 + 50 = 135 coins. The number of coins after given 15 to her coworker is 135 - 15 = 120.
Jerry’s two daughters play softball on different teams. They each have 8 games this season. Each team practices 4 hours for every game they play. If each game lasts for 2 hours, how many hours will Jerry spend at the field watching his daughters play and practice altogether?	96	Jerry will spend 8 games x 2 hours per game = 16 hours watching one daughter play her games. He will spend 16 x 2 = 32 hours watching both daughters play their games. He will spend 8 games x 4 hours of practice = 32 hours watching one daughter practice. He will spend 32 x 2 = 64 hours watching both daughters practice. He will spend a total of 32 hours watching games + 64 hours watching practice = 96 hours.
A bear is preparing to hibernate for the winter and needs to gain 1000 pounds. At the end of summer, the bear feasts on berries and small woodland animals. During autumn, it devours acorns and salmon. It gained a fifth of the weight it needed from berries during summer, and during autumn, it gained twice that amount from acorns. Salmon made up half of the remaining weight it had needed to gain. How many pounds did it gain eating small animals?	200	The bear gained 1 / 5 * 1000 = 200 pounds from berries. It gained 2 * 200 = 400 pounds from acorns. It still needed 1000 - 200 - 400 = 400 pounds. Thus, it gained 400 / 2 = 200 pounds from salmon. Therefore, the bear gained 400 - 200 = 200 pounds from small animals.
There are 290 liters of oil in 24 cans. If 10 of the cans are holding 8 liters each, how much oil is each of the remaining cans holding?	15	10 cans are holding 8 liters each for a total of 10 * 8 = 80 liters. There are 290 - 80 = 210 litres left. There are 24 - 10 = 14 cans left. Each of the remaining cans is holding 210 / 14 = 15 liters each.
Shawna's workout goal is 30 situps. On Monday, Shawna was only able to do 12 situps, so she decided that she would make up for the rest on Tuesday. However, she was only able to do 19 situps on Tuesday. How many situps would Shawna have to do on Wednesday to meet her minimum goal and make up for the ones she didn't do?	59	On Monday, Shawna was short of 30 - 12 = 18 situps. On Tuesday, Shawna was short of 30 - 19 = 11 situps. On Wednesday, Shawna would have to do 30 + 18 + 11 = 59 situps.
James earns $20 an hour while working at his main job. He earns 20% less while working his second job. He works 30 hours at his main job and half that much at his second job. How much does he earn per week?	840	James earns 20 * .2 = $4 less while working his second job. So he earns 20 - 4 = $16 an hour. At his first job he earns 20 * 30 = $600. He works 30 / 2 = 15 hours at his second job. So he earns 15 * 16 = $240. So he earns 600 + 240 = $840 a week.
Lee mows one lawn and charges $33. Last week he mowed 16 lawns and three customers each gave him a $10 tip. How many dollars did Lee earn mowing lawns last week?	558	33 * 16 = $528. 3 * 10 = $30. 528 + 30 = $558. Lee earned $558 mowing lawns last week.
Tara has been planning to buy a laptop which costs $1000. A computer shop accepts payment in installments of $65 per month provided that a 20% down payment is made. If Tara wants to pay an additional $20 for the down payment, how much will her balance be after paying for 4 months?	520	Tara has to make a $1000 x 20 / 100 = $200 down payment. Since Tara wants to pay $20 more for the down payment, her total down payment will be $200 + $20 = $220. So her remaining balance payable over a year is $1000 - $220 = $780. Tara has to make a monthly payment of $780 / year / 12 months / year = $65 / month. The total cost of her payments for 4 months is $65 / month x 4 months = $260. Therefore, Tara's balance after 4 months is $780 - $260 = $520.
